submission_title,submission_text,top_comment_1_classification
AITA for telling my drywall guy to stop bugging my babysitter?,"we are doing some house renovations and so workers are in the house. today two guys were putting up drywall in the living room while our babysitter is playing with our daughter in the family room while i’m working in my downstairs office. 

i hear the drywall guy asking personal questions to my babysitter until her answers started getting short and her tone changes. 
ie: 
guy: so where do you live ? 
her: north of here
guy: yeah but where?
her: it’s kind of a weird spot

that’s when i finally walked upstairs and told him, “what is this? the census? she’s watching my kid. let her be. “ i thought i did it in a joking manner but i guess it came off harsher than i intended. my wife promptly informed me i was an asshole to the guy and the babysitter had it under control. 

i get that white knighting is a thing and that i may be out of touch with where i should be putting my foot down so i leave the verdict all of you. 

am i the a-hole?",NTA
AITA for telling my mom I'm not making her choose because I'm happy to be left out,"i'm (26f) recently divorced after learning my sister (27f) and husband were having an affair. i cut my sister off the day i found out. we have not spoken since, we have not been in the same room for more than ten seconds and i will not have a relationship with her moving forward. this year has been rough and covid made some things easier regarding there was no visiting family so the pressure was gone. but recently my mom wanted to have a family dinner again and i told her i would not go because i did not want to be in my sisters presence. she told me i can't avoid her forever, she's my sister and we share family. i told her i can and i will. her response was telling me i am being unfair making her choose between us and i said i'm not making her choose because i'm fine not being invited, i know my stance means i will end up being excluded. but i will not play nice with her and my ex. especially now that they are getting married too. we're never going to play happy families. i don't want to be civil to them. so i would rather not have anything to do with them. and they will never have anything to do with me again.

my mom thinks i'm being very unfair.

aita?

edited to add since this was asked: my dad died 9 years ago.",NTA
AITA for suggesting that my sister chose an easy love?,"my younger sister and i were very close when young but no so much now. i was born in fairly well to do hindu family. i fell in love and married a muslim man and had to convert to his religion. my family was pretty pissed off that i converted but we've kept in touch.

recently my sister announced that she was in love with a guy she'd met while trekking and they had plans to marry. my mom invited me for a 'girl's day', just me, her and my sister at my parent's home for a fun day.

my sister began to talk about her fiance, how they hated each other at first but then fell in love etc etc. i was happy for her.

it all began when i asked what religion he was. imagine my surprise when she said that he was hindu and the same community as our parents. this would mean that it would make my father absolutely over the moon.

i asked her if she was sure she loved him, because it seemed unbelievable that she would meet someone from the same small community as our parents' and fall in love. she got angry and told me that she was absolutely sure she was in love with him. 
i suggested that maybe she thought she was in love because it was easy and there was no challenges involved.

i explained to her that if she was truly in love, she wouldn't choose someone so obviously a match. it was as though our parents chose him from a catalogue. 

she told me that it didn't matter, she loved him and thats it, and i was being rude. i told her that i wasn't, i was just looking out for her and didn't want her to bear the brunt of societal expectations on who to marry.  i then asked her if she was marrying him to appease our parents.
 
at this point my sister blew up on me and began fuming that she was not a kid, she didn't need to appease anyone etc etc. at this point my mom told me(not her) to get out of the house.


later my sister told me never to contact her again, nor ever see her face or come to her wedding. she called me 'toxic'.

i was just looking out for her.",YTA
AITA for taking off my leg and making someone look dumb and feel uncomfortable?,"i (21f) was in a very bad car accident about three years ago. a drunk drive ran a stop light, cut off a semi-truck, which then crashed into me, sending me crashing into two different cars and then ultimately into an embankment. my car was mangled and my leg was crushed, completely destroyed, and it had to be amputated. i also lost a couple fingers (the tip of one and all of another). i'm also left with some gnarly scars that used to bother me but i'm learning to deal with them. i got a couple different insurance payouts and some pain and suffering money in addition to my medical bills being paid and with my money i purchased a custom-made leg to take the place of the one i lost. when i have pants and shoes on you can hardly tell unless you're really looking. i still limp but some days i don't have as pronounced a limp.

earlier today i went to the store with my boyfriend, my sister, her girlfriend, and our mother. i drove. i had to learn to drive with my left foot but i'm really good at it now. i also bought a new car with my money and had to go through a ton of therapy to get past my ptsd but i'm doing well there now as well. so, i drove us, and because of my injuries (in addition to my leg i also have chronic hip, neck, and back pain, and some issues with my lungs from the time spent intubated in a medically-induced coma that led to pneumonia) i have a handicap placard for my car. i have trouble walking without getting tired so it really helps to park close to the door. today i did so and unknowingly took the space from someone who was circling back around for it. apparently the man had been looking for a close space and had missed the one i took and went down and around. he was still on the other aisle when i pulled in so i didn't cut him off or anything and had no way of knowing he wanted the spot.

he parked in the yellow stripe zone and got out and immediately began confronting me about stealing a space from people who actually need it, how i'm just some kid who has no respect for those who are truly sick and suffering. he then ordered me to move. my group was urging me to just walk way but this has happened before and once the police were even called. i'm sick of people thinking that just because i'm young that i don't have a legit need for a little extra consideration. i said ""okay"", and went to the car and got in like i was going to drive off. i was wearing a skirt and leggings so it wasn't quite obvious at first but when i sat down i took my leg off and showed it to the man, including my stump. i then asked him if it was okay if i still parked there. he walked away calling me disgusting and rude and said i could have just told him and i made him look stupid.

my group was embarrassed and said that i made things awkward because there was a crowd. aita?",NTA
"AITA for being ""ungrateful"" of the cake my boyfriend made me?","i(33f) have been dating a man, “alex”(34m) for almost 3 years. alex has a 13 year old daughter from a previous marriage that he has full custody of. 

when we met alex was doing very well, he made 6 figures and he had a decent house in a fine neighborhood. i had a slightly lower paying job.  almost a year and a half ago, his job had to cut some employees and he was one of them. he had to take on a job and he earned much less than he had before. 

i moved into their house 5 months ago. since i moved in i have helped a lot with the bills, usually half or more of them. 

yesterday was my birthday. i wanted to celebrate at a nice restaurant near us, however it was closed. there was another one a little closer to us, although it was more expensive. i suggested going there for my birthday to alex, and he said that he couldn't afford to pay for dinner there and if we went we would need to split the bill. i was a little upset but he said he would make something himself. 

the cake i wanted was, admittedly, somewhat expensive. i pointed it out to him, and he said again that he didn't think he could afford it with christmas coming up and we'd have to go half. i told him i wasn't paying for a cake for my own birthday, and he said he'd see what he could do. 

well, yesterday came. he made dinner, and it was quite good, better than most meals we eat, although not as good as what it would be at a restaurant. however, when he brought the cake out it was just something he had made himself. 

he said he was sorry he couldn't afford the nicer cake but he had made this one and his daughter had helped. 

i pretended to enjoy it but after i told him that i was hoping for a slightly nicer cake. he said he had tried his best and he couldn't spend the money he had set aside for bills on a cake. 

i guess his daughter heard because now he's also saying that i made her upset after she helped make it. 

he keeps saying i should apologize to her and say that i really liked it. 

aita?",YTA
AITA for telling my boyfriend that he can't date younger and then get upset about my budget apartment?,"so i recently got together with a guy from my hobby, he asked me out first and i had some doubts that we'd work together as a couple because of the age difference, he's 35 and i'm 22.

so, in my apartment, since it's an old house that was originally a single family house, there isn't much soundproofing. and the floors creak when people move. 

i've gotten used to the sound of the guy upstairs getting up at 4 am since he starts work at 5.

and the sound of the girls in the apartments to either side of mine watching telenovelas till midnight, taking work calls all day and having friends over on weekend nights. 

i know when i play music or have friends over, some of the sound leaks through the walls. so i'd never get upset about hearing my neighbors because it goes both ways. 

so... when my boyfriend started coming over more often, he had complaints about the neighbors. which put me in an awkward place, he wanted to go speak to them or have me text them and i said no. 

for example, one of the early times he stayed over we went to bed around 10. he wanted me to ask my neighbor to turn down her tv. i said she didn't have it that loud and she turns it off at midnight anyway. 

at 4 am, he got very irritated with my upstairs neighbor getting up and cooking breakfast. i said that he would be done by 5 because that's when his shift starts. 

at 7 am, he was still trying to sleep in and the neighbor on the other side had some work calls that he said he couldn't sleep through. i offered him earplugs and he said he couldn't sleep with them in either, he wanted me to ask her to quiet down.

he had similar comments every time he heard someone else in the building just living their life especially if it was when he was in bed. 

i got frustrated with my boyfriend and told him ""you know, you can't expect to date a 'hot young' 22 year old and not wanna deal with a 22 year olds living situation! i don't know if you realize but this is a normal apartment for someone my age... hell, my neighbors are pretty great; nobody's throwing loud parties on work nights, nobody's having screaming fights, nobody's having babies!"" 

(the 'hot young' part was in sarcastic air quotes because those were his words not mine)

he got irritated and asked why i was bringing age into it, and i said it's because he can't both want someone so young and also want someone with house kinda money! and he was being so out of touch with how normal people in their 20s live.

he got really irritated with me bringing age into it, and even more annoyed when i'd respond to his neighbor complaints in the future with ""ok boomer"" or tell him that if he wanted me to have a ""rich person apartment"" he could pay for it. 

aita for what i said to my boyfriend about my apartment?",NTA
AITA for telling my friend to “man up” or not to come to my wedding?,"context: me (31m) and taylor (30m) have been best friends since forever. we were school buddies, college friends, my parents love him, we’ve vacationed together many times. taylor is a very affectionate person, kind, thoughtful guy.

three years ago me and anne (31f) started dating, and now i’m pretty sure she’s the love of my life. brilliant woman all around. we’re getting married next january.

the conflict: after a long and thoughtful conversation, my fiance voiced her concerns about inviting taylor to our wedding. basically, she had two main reasons for asking him that: 1. dress code: taylor is a 30 year old punk. he wore a dress to our prom. you know , that kind of guy. 2. taylor is dating a guy. which is not the problem. but his partner is also very flamboyant.

anne wants a very minimalist, quiet, calm, wedding, because she struggles with anxiety and adhd. so, that was her request.

i talked to taylor the next day, and i told him about anne’s concerns. tay said “do you think i’m gonna show up in a white dress?” and laugh about it, but i told him he needed to promise he would respect the dress code. black tuxedo for the guys… that was the code.

i got a little caught in the moment so maybe i was harsher than i should’ve been. i told him to ‘man up’ and to ‘act his age'. i said some stupid stuff like ‘people laugh about you, you want to be a joke?’.

he said “sure, no problem” and the next day he declined the online invitation. he keeps telling me “we’re good” and everything is okay, but the situation it’s bothering me.

i love tay, but i know he can be difficult. my group chat with my family is burning because they don’t understand why he will not be there, and our friends' group chat is dead since the news dropped.  aita?",YTA
AITA for buying my gf a blender instead of the necklace she wanted for our anniversary?,"before i start i’d like to say that my gf and i are both women. we are lesbians. i say this to hopefully preempt the ‘typical man’ comments. 

this happened last month but my best friend and hers are still giving me shit about it. we had our one year anniversary. i asked what she wanted and she told me just something romantic, a little necklace or something cute. while browsing around on amazon i found an emulsion blender and it pinged in my head. my gf loves cooking and always talks about all the gadgets she wants. plus she made homemade tomato sauce and i remember her complaining how hard it was to make the sauce smooth cause she didn’t have an emulsion blender. i’m a very practical gift giver, i like to give things people will use so i bought it and was super excited to give it to her. 

the day rolls around and she gives me a bottle of whiskey i’ve had my eye on for ages but could never justify the cost. i was so hyped and encouraged my gf to open hers. she opened it and her face kinda falls and she goes ‘oh… an emulsion blender…?’ and i told her i remembered her talking about all the kitchen gadgets she wanted and was so excited to give it to her. she kept her cool but told me while she appreciated the thought she was a little upset that it wasn’t jewelry. i was confused so she explained that she felt anniversary’s should be more about romantic/sentimental gifts versus practical, that she appreciated it greatly but couldn’t lie to me that she wished it had been the necklace she pointed out to me online (it was nothing fancy, a $30 mushroom necklace). i shared my woes with my friend and my friend thought it was hilarious that i was so inept, and that he understood why my gf was upset with her gift. gf’s best friend also got wind of the situation and has been ribbing me with telling my gf to get back to the kitchen jokes etc. my gf and i are fine but i know she was disappointed, and she ended up buying the necklace herself a week after i gave her the blender. so aita for giving my gf a practical gift versus the necklace she wanted?",YTA
AITA for bringing up an embarrassing story?,"a week ago i went out with friends and one (john) got so drunk they couldn’t walk. my friend was going to uber john home but i said i’ll let him sleep at my place. 

when we got to my apartment john got out of the car, fell asleep in a puddle when it was raining like crazy. i had to drag him inside. i leave him there and he’s twitching his head and can barely move. he was dead weight. i went into another room and he peed himself. 

the next day john was extremely embarrassed. he said he was sorry he was a burden and thankful i took care of him. he made me take $50 to buy cleaning supplies and bought me breakfast then uber to his car. he cleaned up too. 

i didn’t see him since until a friend had a dinner party. at the dinner party i kept saying “john had an uh-oh the other day, john why don’t you tell everyone” then he kept saying no and this isn’t respectful of his boundaries to keep pushing if he said no. then i showed everyone a video of john twitching and passed out because i thought it was harmless and funny. john was like this isn’t the place and then i was like john tell everyone what happened. 

the next day john texted me “listen sorry i was a burden, but i didn’t intentionally do that. i think it was unnecessary and cruel you tried to humiliate me at a dinner party with all our peers” then blocked me. i didn’t think it was a big of a deal as he made it. 

aita for sharing an embarrassing story of a friend?",YTA
AITA for telling my husband he is either married to me or his co-worker?,"my (37f) husband (40m) has been working at his company for 10 years as a maintenance supervisor. about a year ago they hired tabitha\* to work in their accounting department. since the day she first started working there, she has had an infatuation with my husband that is now becoming unprofessional and inappropriate.

this started when the heat went out in her office. my husband's job as supervisor is to assign tasks to his employees, however, she is never satisfied with the work they do, even though he says that they do great work, so she demands he work on her office. she constantly calls him on his work phone for mundane things (carpet is loose in a corner, loose screw on her coat hook) and he goes and fixes them without issue. 

last year when we went to the company christmas party (pre-plague times) she was very flirty with him, constantly grabbed his hand. when he introduced us she just grinned at my and said ""look there's peter,"" and grabbed his hand and walked away. when we sat at the table she damn near pushed me out of my seat to sit next to him, and my husband told her to get up that it was my seat. she walked off in a huff, and when she saw me in the restroom she shoved past me. i told my husband what happened and he said it was fine, that she was harmless. i told him that she was not fine, and that she clearly had feelings for him and she was acting like a jealous girlfriend. 

the past few weeks this has ramped up to an astonishing level of inappropriate. she recently moved into a new house and my husband and some of the other guys from work helped her move and put things together. he gave her his personal cell phone number, and she has been calling and texting non-stop about things she needs help with. multiple times a day at all hours of the day and night she will call and text him for help. last night at 2:00am she called about her heat not working right. my husband said he would go over and look at it after work. i broke down. i told him he was not going, that she could call a technician like everyone else, and that he is not her personal maintenance man. 

i told him very clearly that she has feelings for him and he is so dense he can't see it. i told him that while it is nice to help on occasion, she calls him all the time asking for help with things that she can do on her own (move boxes/furniture) or pay to have a repair person come and fix. i told him that once he gave out his personal phone number that he crossed a line, and i am not comfortable with it. 

he said that this will most likely be an easy fix and it won't take long, so i cried and told him that he can either to be married to me, or married to her, but i wasn't going to be the third wheel in my own marriage. 

he says he does not have feelings for her and that i am overreacting to him just wanting to help a friend. i feel otherwise.

aita?",NTA
